Componente,Ano,Valor,Região
"Impostos sobre produto, líquidos de subsídios",2010-01-01,"0,15003344187251855",Brasil
"Impostos sobre produto, líquidos de subsídios",2011-01-01,"0,14987745585280254",Brasil
"Impostos sobre produto, líquidos de subsídios",2012-01-01,"0,14964421902649389",Brasil
"Impostos sobre produto, líquidos de subsídios",2013-01-01,"0,1458954518264359",Brasil
"Impostos sobre produto, líquidos de subsídios",2014-01-01,"0,1395094943136044",Brasil
"Impostos sobre produto, líquidos de subsídios",2015-01-01,"0,14012939418961967",Brasil
"Impostos sobre produto, líquidos de subsídios",2016-01-01,"0,1355019230131201",Brasil
"Impostos sobre produto, líquidos de subsídios",2017-01-01,"0,1387223313596474",Brasil
"Impostos sobre produto, líquidos de subsídios",2018-01-01,"0,14177198888486128",Brasil
"Impostos sobre produto, líquidos de subsídios",2019-01-01,"0,13972509081243803",Brasil
"Impostos sobre produto, líquidos de subsídios",2020-01-01,"0,1333395185055051",Brasil
"Impostos sobre produto, líquidos de subsídios",2021-01-01,"0,14404378004696367",Brasil
"Impostos sobre produto, líquidos de subsídios",2010-01-01,"0,12321423960724076",Nordeste
"Impostos sobre produto, líquidos de subsídios",2011-01-01,"0,1246103218388358",Nordeste
"Impostos sobre produto, líquidos de subsídios",2012-01-01,"0,1273192265020867",Nordeste
"Impostos sobre produto, líquidos de subsídios",2013-01-01,"0,12478720018431358",Nordeste
"Impostos sobre produto, líquidos de subsídios",2014-01-01,"0,11934624073818487",Nordeste
"Impostos sobre produto, líquidos de subsídios",2015-01-01,"0,11839456083616993",Nordeste
"Impostos sobre produto, líquidos de subsídios",2016-01-01,"0,11780521228697",Nordeste
"Impostos sobre produto, líquidos de subsídios",2017-01-01,"0,11938997593706206",Nordeste
"Impostos sobre produto, líquidos de subsídios",2018-01-01,"0,12244183105043799",Nordeste
"Impostos sobre produto, líquidos de subsídios",2019-01-01,"0,12478586709232842",Nordeste
"Impostos sobre produto, líquidos de subsídios",2020-01-01,"0,12123073895857604",Nordeste
"Impostos sobre produto, líquidos de subsídios",2021-01-01,"0,13025540516161924",Nordeste
"Impostos sobre produto, líquidos de subsídios",2010-01-01,"0,10293771717352004",Sergipe
"Impostos sobre produto, líquidos de subsídios",2011-01-01,"0,10548104618439641",Sergipe
"Impostos sobre produto, líquidos de subsídios",2012-01-01,"0,1063615453180508",Sergipe
"Impostos sobre produto, líquidos de subsídios",2013-01-01,"0,10548238127045946",Sergipe
"Impostos sobre produto, líquidos de subsídios",2014-01-01,"0,10161207975323923",Sergipe
"Impostos sobre produto, líquidos de subsídios",2015-01-01,"0,10498760816542575",Sergipe
"Impostos sobre produto, líquidos de subsídios",2016-01-01,"0,10611649538598485",Sergipe
"Impostos sobre produto, líquidos de subsídios",2017-01-01,"0,10560485224342803",Sergipe
"Impostos sobre produto, líquidos de subsídios",2018-01-01,"0,11271641510459249",Sergipe
"Impostos sobre produto, líquidos de subsídios",2019-01-01,"0,10781547324071389",Sergipe
"Impostos sobre produto, líquidos de subsídios",2020-01-01,"0,10397989948960308",Sergipe
"Impostos sobre produto, líquidos de subsídios",2021-01-01,"0,11504704914937931",Sergipe
