Região,Ano,Variável,Valor
Brasil,2010-01-01,Pessoal ocupado em 31/12,2327218
Brasil,2010-01-01,Empresas - unidades da federação de origem - sede,42554
Brasil,2011-01-01,Pessoal ocupado em 31/12,2517584
Brasil,2011-01-01,Empresas - unidades da federação de origem - sede,51362
Brasil,2012-01-01,Pessoal ocupado em 31/12,2706625
Brasil,2012-01-01,Empresas - unidades da federação de origem - sede,56082
Brasil,2013-01-01,Pessoal ocupado em 31/12,2773953
Brasil,2013-01-01,Empresas - unidades da federação de origem - sede,59736
Brasil,2014-01-01,Pessoal ocupado em 31/12,2687539
Brasil,2014-01-01,Empresas - unidades da federação de origem - sede,64688
Brasil,2015-01-01,Pessoal ocupado em 31/12,2259077
Brasil,2015-01-01,Empresas - unidades da federação de origem - sede,64382
Brasil,2016-01-01,Pessoal ocupado em 31/12,1824642
Brasil,2016-01-01,Empresas - unidades da federação de origem - sede,58291
Brasil,2017-01-01,Pessoal ocupado em 31/12,1706295
Brasil,2017-01-01,Empresas - unidades da federação de origem - sede,54414
Brasil,2018-01-01,Pessoal ocupado em 31/12,1705985
Brasil,2018-01-01,Empresas - unidades da federação de origem - sede,55624
Brasil,2019-01-01,Pessoal ocupado em 31/12,1707861
Brasil,2019-01-01,Empresas - unidades da federação de origem - sede,55566
Brasil,2020-01-01,Pessoal ocupado em 31/12,1798846
Brasil,2020-01-01,Empresas - unidades da federação de origem - sede,58196
Brasil,2021-01-01,Pessoal ocupado em 31/12,1953766
Brasil,2021-01-01,Empresas - unidades da federação de origem - sede,61468
Nordeste,2010-01-01,Pessoal ocupado em 31/12,529044
Nordeste,2010-01-01,Empresas - unidades da federação de origem - sede,6185
Nordeste,2011-01-01,Pessoal ocupado em 31/12,603025
Nordeste,2011-01-01,Empresas - unidades da federação de origem - sede,8078
Nordeste,2012-01-01,Pessoal ocupado em 31/12,619968
Nordeste,2012-01-01,Empresas - unidades da federação de origem - sede,8082
Nordeste,2013-01-01,Pessoal ocupado em 31/12,642530
Nordeste,2013-01-01,Empresas - unidades da federação de origem - sede,9246
Nordeste,2014-01-01,Pessoal ocupado em 31/12,614551
Nordeste,2014-01-01,Empresas - unidades da federação de origem - sede,10109
Nordeste,2015-01-01,Pessoal ocupado em 31/12,500894
Nordeste,2015-01-01,Empresas - unidades da federação de origem - sede,10512
Nordeste,2016-01-01,Pessoal ocupado em 31/12,390297
Nordeste,2016-01-01,Empresas - unidades da federação de origem - sede,9726
Nordeste,2017-01-01,Pessoal ocupado em 31/12,362246
Nordeste,2017-01-01,Empresas - unidades da federação de origem - sede,9023
Nordeste,2018-01-01,Pessoal ocupado em 31/12,346519
Nordeste,2018-01-01,Empresas - unidades da federação de origem - sede,8695
Nordeste,2019-01-01,Pessoal ocupado em 31/12,336302
Nordeste,2019-01-01,Empresas - unidades da federação de origem - sede,8281
Nordeste,2020-01-01,Pessoal ocupado em 31/12,345538
Nordeste,2020-01-01,Empresas - unidades da federação de origem - sede,8623
Nordeste,2021-01-01,Pessoal ocupado em 31/12,367038
Nordeste,2021-01-01,Empresas - unidades da federação de origem - sede,9021
Sergipe,2010-01-01,Pessoal ocupado em 31/12,25612
Sergipe,2010-01-01,Empresas - unidades da federação de origem - sede,265
Sergipe,2011-01-01,Pessoal ocupado em 31/12,29390
Sergipe,2011-01-01,Empresas - unidades da federação de origem - sede,374
Sergipe,2012-01-01,Pessoal ocupado em 31/12,30113
Sergipe,2012-01-01,Empresas - unidades da federação de origem - sede,303
Sergipe,2013-01-01,Pessoal ocupado em 31/12,30034
Sergipe,2013-01-01,Empresas - unidades da federação de origem - sede,385
Sergipe,2014-01-01,Pessoal ocupado em 31/12,31834
Sergipe,2014-01-01,Empresas - unidades da federação de origem - sede,422
Sergipe,2015-01-01,Pessoal ocupado em 31/12,30633
Sergipe,2015-01-01,Empresas - unidades da federação de origem - sede,467
Sergipe,2016-01-01,Pessoal ocupado em 31/12,20058
Sergipe,2016-01-01,Empresas - unidades da federação de origem - sede,452
Sergipe,2017-01-01,Pessoal ocupado em 31/12,17367
Sergipe,2017-01-01,Empresas - unidades da federação de origem - sede,359
Sergipe,2018-01-01,Pessoal ocupado em 31/12,17844
Sergipe,2018-01-01,Empresas - unidades da federação de origem - sede,377
Sergipe,2019-01-01,Pessoal ocupado em 31/12,14574
Sergipe,2019-01-01,Empresas - unidades da federação de origem - sede,293
Sergipe,2020-01-01,Pessoal ocupado em 31/12,13056
Sergipe,2020-01-01,Empresas - unidades da federação de origem - sede,349
Sergipe,2021-01-01,Pessoal ocupado em 31/12,13113
Sergipe,2021-01-01,Empresas - unidades da federação de origem - sede,408
