ANO,MÊS,LOCALIZAÇÃO,PRODUTO,PRODUÇÃO,REGIÃO
2000-01-01,ABR,MAR,GÁS NATURAL,"630183,9952",BRASIL
2000-01-01,AGO,MAR,GÁS NATURAL,"651647,1373",BRASIL
2000-01-01,DEZ,MAR,GÁS NATURAL,"755655,9149",BRASIL
2000-01-01,FEV,MAR,GÁS NATURAL,"614285,7695",BRASIL
2000-01-01,JAN,MAR,GÁS NATURAL,"680568,4134",BRASIL
2000-01-01,JUL,MAR,GÁS NATURAL,"671393,1019",BRASIL
2000-01-01,JUN,MAR,GÁS NATURAL,"660397,9087",BRASIL
2000-01-01,MAI,MAR,GÁS NATURAL,"663690,0246",BRASIL
2000-01-01,MAR,MAR,GÁS NATURAL,"659682,3495",BRASIL
2000-01-01,NOV,MAR,GÁS NATURAL,"688235,3315",BRASIL
2000-01-01,OUT,MAR,GÁS NATURAL,"690464,0914",BRASIL
2000-01-01,SET,MAR,GÁS NATURAL,"684091,2773",BRASIL
2000-01-01,ABR,TERRA,GÁS NATURAL,"429678,65510000003",BRASIL
2000-01-01,AGO,TERRA,GÁS NATURAL,"450830,70869999996",BRASIL
2000-01-01,DEZ,TERRA,GÁS NATURAL,"460868,1199",BRASIL
2000-01-01,FEV,TERRA,GÁS NATURAL,"366371,58050000004",BRASIL
2000-01-01,JAN,TERRA,GÁS NATURAL,"388366,64060000004",BRASIL
2000-01-01,JUL,TERRA,GÁS NATURAL,"463741,9826",BRASIL
2000-01-01,JUN,TERRA,GÁS NATURAL,"446480,1484",BRASIL
2000-01-01,MAI,TERRA,GÁS NATURAL,"444595,0243",BRASIL
2000-01-01,MAR,TERRA,GÁS NATURAL,"427759,35140000004",BRASIL
2000-01-01,NOV,TERRA,GÁS NATURAL,"460385,7341",BRASIL
2000-01-01,OUT,TERRA,GÁS NATURAL,"458082,83060000004",BRASIL
2000-01-01,SET,TERRA,GÁS NATURAL,"435420,9559",BRASIL
2001-01-01,ABR,MAR,GÁS NATURAL,"644247,3",BRASIL
2001-01-01,AGO,MAR,GÁS NATURAL,"701551,1",BRASIL
2001-01-01,DEZ,MAR,GÁS NATURAL,"787088,0",BRASIL
2001-01-01,FEV,MAR,GÁS NATURAL,"655051,4",BRASIL
2001-01-01,JAN,MAR,GÁS NATURAL,"700418,2",BRASIL
2001-01-01,JUL,MAR,GÁS NATURAL,"695889,9",BRASIL
2001-01-01,JUN,MAR,GÁS NATURAL,"649101,5",BRASIL
2001-01-01,MAI,MAR,GÁS NATURAL,"647369,0",BRASIL
2001-01-01,MAR,MAR,GÁS NATURAL,"687772,3",BRASIL
2001-01-01,NOV,MAR,GÁS NATURAL,"703191,5",BRASIL
2001-01-01,OUT,MAR,GÁS NATURAL,"637054,5",BRASIL
2001-01-01,SET,MAR,GÁS NATURAL,"662516,0",BRASIL
2001-01-01,ABR,TERRA,GÁS NATURAL,"471773,0",BRASIL
2001-01-01,AGO,TERRA,GÁS NATURAL,"467872,0",BRASIL
2001-01-01,DEZ,TERRA,GÁS NATURAL,"517187,77",BRASIL
2001-01-01,FEV,TERRA,GÁS NATURAL,"434516,0",BRASIL
2001-01-01,JAN,TERRA,GÁS NATURAL,"469353,0",BRASIL
2001-01-01,JUL,TERRA,GÁS NATURAL,"484747,0",BRASIL
2001-01-01,JUN,TERRA,GÁS NATURAL,"485146,0",BRASIL
2001-01-01,MAI,TERRA,GÁS NATURAL,"506669,0",BRASIL
2001-01-01,MAR,TERRA,GÁS NATURAL,"492858,0",BRASIL
2001-01-01,NOV,TERRA,GÁS NATURAL,"498103,32999999996",BRASIL
2001-01-01,OUT,TERRA,GÁS NATURAL,"514237,99",BRASIL
2001-01-01,SET,TERRA,GÁS NATURAL,"485084,0",BRASIL
2002-01-01,ABR,MAR,GÁS NATURAL,"815545,0",BRASIL
2002-01-01,AGO,MAR,GÁS NATURAL,"790927,0",BRASIL
2002-01-01,DEZ,MAR,GÁS NATURAL,"726082,0",BRASIL
2002-01-01,FEV,MAR,GÁS NATURAL,"751149,0",BRASIL
2002-01-01,JAN,MAR,GÁS NATURAL,"810034,0",BRASIL
2002-01-01,JUL,MAR,GÁS NATURAL,"775113,0",BRASIL
2002-01-01,JUN,MAR,GÁS NATURAL,"777388,0",BRASIL
2002-01-01,MAI,MAR,GÁS NATURAL,"822980,0",BRASIL
2002-01-01,MAR,MAR,GÁS NATURAL,"845899,0",BRASIL
2002-01-01,NOV,MAR,GÁS NATURAL,"719436,0",BRASIL
2002-01-01,OUT,MAR,GÁS NATURAL,"764921,0",BRASIL
2002-01-01,SET,MAR,GÁS NATURAL,"757040,0",BRASIL
2002-01-01,ABR,TERRA,GÁS NATURAL,"517068,83999999997",BRASIL
2002-01-01,AGO,TERRA,GÁS NATURAL,"530282,95",BRASIL
2002-01-01,DEZ,TERRA,GÁS NATURAL,"510713,9",BRASIL
2002-01-01,FEV,TERRA,GÁS NATURAL,"487189,12",BRASIL
2002-01-01,JAN,TERRA,GÁS NATURAL,"525132,21",BRASIL
2002-01-01,JUL,TERRA,GÁS NATURAL,"520300,56",BRASIL
2002-01-01,JUN,TERRA,GÁS NATURAL,"526745,2",BRASIL
2002-01-01,MAI,TERRA,GÁS NATURAL,"543720,31",BRASIL
2002-01-01,MAR,TERRA,GÁS NATURAL,"532772,3",BRASIL
2002-01-01,NOV,TERRA,GÁS NATURAL,"488738,26",BRASIL
2002-01-01,OUT,TERRA,GÁS NATURAL,"491108,76",BRASIL
2002-01-01,SET,TERRA,GÁS NATURAL,"494866,73",BRASIL
2003-01-01,ABR,MAR,GÁS NATURAL,"749942,0",BRASIL
2003-01-01,AGO,MAR,GÁS NATURAL,"794122,4",BRASIL
2003-01-01,DEZ,MAR,GÁS NATURAL,"728332,154",BRASIL
2003-01-01,FEV,MAR,GÁS NATURAL,"719688,0",BRASIL
2003-01-01,JAN,MAR,GÁS NATURAL,"793402,0",BRASIL
2003-01-01,JUL,MAR,GÁS NATURAL,"767424,0",BRASIL
2003-01-01,JUN,MAR,GÁS NATURAL,"699525,0",BRASIL
2003-01-01,MAI,MAR,GÁS NATURAL,"757043,0",BRASIL
2003-01-01,MAR,MAR,GÁS NATURAL,"778293,0",BRASIL
2003-01-01,NOV,MAR,GÁS NATURAL,"735969,647",BRASIL
2003-01-01,OUT,MAR,GÁS NATURAL,"796945,593",BRASIL
2003-01-01,SET,MAR,GÁS NATURAL,"762730,98",BRASIL
2003-01-01,ABR,TERRA,GÁS NATURAL,"533482,11",BRASIL
2003-01-01,AGO,TERRA,GÁS NATURAL,"577686,87",BRASIL
2003-01-01,DEZ,TERRA,GÁS NATURAL,"630032,89",BRASIL
2003-01-01,FEV,TERRA,GÁS NATURAL,"487574,98",BRASIL
2003-01-01,JAN,TERRA,GÁS NATURAL,"523693,51",BRASIL
2003-01-01,JUL,TERRA,GÁS NATURAL,"559501,3300000001",BRASIL
2003-01-01,JUN,TERRA,GÁS NATURAL,"532203,05",BRASIL
2003-01-01,MAI,TERRA,GÁS NATURAL,"535120,59",BRASIL
2003-01-01,MAR,TERRA,GÁS NATURAL,"537351,77",BRASIL
2003-01-01,NOV,TERRA,GÁS NATURAL,"595050,32",BRASIL
2003-01-01,OUT,TERRA,GÁS NATURAL,"606290,22",BRASIL
2003-01-01,SET,TERRA,GÁS NATURAL,"590658,49",BRASIL
2004-01-01,ABR,MAR,GÁS NATURAL,"754779,0",BRASIL
2004-01-01,AGO,MAR,GÁS NATURAL,"794367,731",BRASIL
2004-01-01,DEZ,MAR,GÁS NATURAL,"843064,488",BRASIL
2004-01-01,FEV,MAR,GÁS NATURAL,"704993,3",BRASIL
2004-01-01,JAN,MAR,GÁS NATURAL,"745436,0",BRASIL
2004-01-01,JUL,MAR,GÁS NATURAL,"797565,0",BRASIL
2004-01-01,JUN,MAR,GÁS NATURAL,"743238,0",BRASIL
2004-01-01,MAI,MAR,GÁS NATURAL,"732388,449",BRASIL
2004-01-01,MAR,MAR,GÁS NATURAL,"772518,0",BRASIL
2004-01-01,NOV,MAR,GÁS NATURAL,"734642,989",BRASIL
2004-01-01,OUT,MAR,GÁS NATURAL,"806566,973",BRASIL
2004-01-01,SET,MAR,GÁS NATURAL,"776095,563",BRASIL
2004-01-01,ABR,TERRA,GÁS NATURAL,"636133,0",BRASIL
2004-01-01,AGO,TERRA,GÁS NATURAL,"663165,27",BRASIL
2004-01-01,DEZ,TERRA,GÁS NATURAL,"649864,55",BRASIL
2004-01-01,FEV,TERRA,GÁS NATURAL,"614183,9199999999",BRASIL
2004-01-01,JAN,TERRA,GÁS NATURAL,"635906,0",BRASIL
2004-01-01,JUL,TERRA,GÁS NATURAL,"665892,0",BRASIL
2004-01-01,JUN,TERRA,GÁS NATURAL,"647543,0",BRASIL
2004-01-01,MAI,TERRA,GÁS NATURAL,"660388,71",BRASIL
2004-01-01,MAR,TERRA,GÁS NATURAL,"661163,0",BRASIL
2004-01-01,NOV,TERRA,GÁS NATURAL,"632275,5900000001",BRASIL
2004-01-01,OUT,TERRA,GÁS NATURAL,"657486,27",BRASIL
2004-01-01,SET,TERRA,GÁS NATURAL,"641499,1900000001",BRASIL
2005-01-01,ABR,MAR,GÁS NATURAL,"845460,181",BRASIL
2005-01-01,AGO,MAR,GÁS NATURAL,"866424,0",BRASIL
2005-01-01,DEZ,MAR,GÁS NATURAL,"907624,189",BRASIL
2005-01-01,FEV,MAR,GÁS NATURAL,"739855,0869999999",BRASIL
2005-01-01,JAN,MAR,GÁS NATURAL,"836444,12",BRASIL
2005-01-01,JUL,MAR,GÁS NATURAL,"892308,0",BRASIL
2005-01-01,JUN,MAR,GÁS NATURAL,"888076,0",BRASIL
2005-01-01,MAI,MAR,GÁS NATURAL,"911207,677",BRASIL
2005-01-01,MAR,MAR,GÁS NATURAL,"831359,1089999999",BRASIL
2005-01-01,NOV,MAR,GÁS NATURAL,"879480,0",BRASIL
2005-01-01,OUT,MAR,GÁS NATURAL,"883963,0",BRASIL
2005-01-01,SET,MAR,GÁS NATURAL,"841689,0",BRASIL
2005-01-01,ABR,TERRA,GÁS NATURAL,"626327,27",BRASIL
2005-01-01,AGO,TERRA,GÁS NATURAL,"638610,0",BRASIL
2005-01-01,DEZ,TERRA,GÁS NATURAL,"568681,36",BRASIL
2005-01-01,FEV,TERRA,GÁS NATURAL,"570189,86",BRASIL
2005-01-01,JAN,TERRA,GÁS NATURAL,"633840,76",BRASIL
2005-01-01,JUL,TERRA,GÁS NATURAL,"630896,0",BRASIL
2005-01-01,JUN,TERRA,GÁS NATURAL,"613285,0",BRASIL
2005-01-01,MAI,TERRA,GÁS NATURAL,"647709,0900000001",BRASIL
2005-01-01,MAR,TERRA,GÁS NATURAL,"640249,3",BRASIL
2005-01-01,NOV,TERRA,GÁS NATURAL,"617171,0",BRASIL
2005-01-01,OUT,TERRA,GÁS NATURAL,"612196,0",BRASIL
2005-01-01,SET,TERRA,GÁS NATURAL,"576155,0",BRASIL
2006-01-01,ABR,MAR,GÁS NATURAL,"881579,361",BRASIL
2006-01-01,AGO,MAR,GÁS NATURAL,"947343,582",BRASIL
2006-01-01,DEZ,MAR,GÁS NATURAL,"954936,431",BRASIL
2006-01-01,FEV,MAR,GÁS NATURAL,"822938,0",BRASIL
2006-01-01,JAN,MAR,GÁS NATURAL,"884163,4105",BRASIL
2006-01-01,JUL,MAR,GÁS NATURAL,"972721,538",BRASIL
2006-01-01,JUN,MAR,GÁS NATURAL,"904027,42",BRASIL
2006-01-01,MAI,MAR,GÁS NATURAL,"955734,935",BRASIL
2006-01-01,MAR,MAR,GÁS NATURAL,"887786,327",BRASIL
2006-01-01,NOV,MAR,GÁS NATURAL,"913836,246",BRASIL
2006-01-01,OUT,MAR,GÁS NATURAL,"980120,133",BRASIL
2006-01-01,SET,MAR,GÁS NATURAL,"918889,706",BRASIL
2006-01-01,ABR,TERRA,GÁS NATURAL,"585859,598",BRASIL
2006-01-01,AGO,TERRA,GÁS NATURAL,"571632,805",BRASIL
2006-01-01,DEZ,TERRA,GÁS NATURAL,"531142,872",BRASIL
2006-01-01,FEV,TERRA,GÁS NATURAL,"512832,8023",BRASIL
2006-01-01,JAN,TERRA,GÁS NATURAL,"572361,8378999999",BRASIL
2006-01-01,JUL,TERRA,GÁS NATURAL,"580185,845",BRASIL
2006-01-01,JUN,TERRA,GÁS NATURAL,"568292,434",BRASIL
2006-01-01,MAI,TERRA,GÁS NATURAL,"587114,331",BRASIL
2006-01-01,MAR,TERRA,GÁS NATURAL,"588630,9839",BRASIL
2006-01-01,NOV,TERRA,GÁS NATURAL,"533601,67",BRASIL
2006-01-01,OUT,TERRA,GÁS NATURAL,"542183,43",BRASIL
2006-01-01,SET,TERRA,GÁS NATURAL,"508245,777",BRASIL
2007-01-01,ABR,MAR,GÁS NATURAL,"973810,42",BRASIL
2007-01-01,AGO,MAR,GÁS NATURAL,"1004767,96",BRASIL
2007-01-01,DEZ,MAR,GÁS NATURAL,"1125158,691",BRASIL
2007-01-01,FEV,MAR,GÁS NATURAL,"878537,786",BRASIL
2007-01-01,JAN,MAR,GÁS NATURAL,"947035,74",BRASIL
2007-01-01,JUL,MAR,GÁS NATURAL,"1030363,461",BRASIL
2007-01-01,JUN,MAR,GÁS NATURAL,"955076,011",BRASIL
2007-01-01,MAI,MAR,GÁS NATURAL,"968982,674",BRASIL
2007-01-01,MAR,MAR,GÁS NATURAL,"983692,9",BRASIL
