Região,Ocupação,Valor,Ano
Nordeste,Só estuda,"24,223531639343815",2013-01-01
Nordeste,Só está ocupado,"37,681417532026124",2013-01-01
Sergipe,Estuda e está ocupado,"12,012312792250674",2013-01-01
Sergipe,Não estuda e não está ocupado,"24,46965655933733",2013-01-01
Sergipe,Só estuda,"26,609715927657998",2013-01-01
Sergipe,Só está ocupado,"36,90831472075404",2013-01-01
Brasil,Estuda e está ocupado,"12,998537216988757",2012-01-01
Brasil,Não estuda e não está ocupado,"21,8044066491117",2012-01-01
Brasil,Só estuda,"21,526479518453034",2012-01-01
Brasil,Só está ocupado,"43,67057661544661",2012-01-01
Nordeste,Estuda e está ocupado,"11,051118936622375",2012-01-01
Nordeste,Não estuda e não está ocupado,"26,952892491247695",2012-01-01
Nordeste,Só estuda,"24,034774466098533",2012-01-01
Nordeste,Só está ocupado,"37,961214106030376",2012-01-01
Sergipe,Estuda e está ocupado,"11,964393458849509",2012-01-01
Sergipe,Não estuda e não está ocupado,"24,17739343890454",2012-01-01
Sergipe,Só estuda,"25,60534787983632",2012-01-01
Sergipe,Só está ocupado,"38,2528652224094",2012-01-01
